id,label,x,y,closeness_all_edges,closeness_no_road_edges
50061,Avaricum,47.083,2.397,0.08885680535503347,
50080,Bostra,32.518,36.484,0.08492222779729051,
50063,Bagacum,50.297,3.792,0.0827324941952829,
50068,Beneharnum,43.333,-0.435,0.09568904593639575,
50083,Brigantium,47.503,9.747,0.07722139842591537,0.04679895170348184
50092,Caeciliana,36.654,38.113,0.07812139395338102,0.4666666666666667
50091,Cabilonnum,46.784,4.853,0.0829250367466928,0.07149666348903717
50072,Beroia,36.203,37.149,0.0829961995831801,
50067,Batnae,36.976,38.424,0.07317336792044964,
50075,Bilbilis,41.382,-1.603,0.08962139263966111,
50093,Caesaraugusta,41.675,-0.889,0.09223433242506812,
50095,Caesarea (Cappadocia),38.722,35.328,0.08497552403665119,
50131,Corduba,37.885,-4.779,0.11741241762053417,0.1259657373194491
50120,Cirta,36.368,6.614,0.10396191646191646,
50119,Circesium,35.243,40.379,0.07270969820642251,0.4117647058823529
50127,Comum,45.812,9.086,0.08567451278157429,
50116,Cetium,48.205,15.623,0.07214407502131287,
50099,Cambete,47.691,7.504,0.07710706150341685,0.051603137470758224
50100,Cambodunum,47.727,10.327,0.07529751974196419,
50103,Capsa,34.413,8.79,0.10209621474890665,
50122,Clusium,43.017,11.948,0.10208082026537997,
50124,Augusta Treverorum,49.754,6.646,0.07122567069963177,0.060768108896451144
50105,Carnuntum,48.113,16.868,0.07335572651424857,0.25
50139,Cyrrhus,36.735,36.949,0.0899189799442157,
50133,Coriosopitum,54.978,-2.029,0.07799539170506913,0.07295719844357977
50771,x,,,0.0893847372590441,
50137,Curia,46.849,9.531,0.08084547408645809,
50142,Decetia,46.828,3.461,0.0841098273077401,
50182,Genava,46.203,6.139,0.08573961499493414,
50148,Diana Veteranorum,35.694,6.189,0.07975966069745523,
50149,Dierna,44.725,22.396,0.07802235795781952,0.1487603305785124
